onset	duration	conditions
9595	2000	local congruent
16342	2000	global incongruent
22989	2000	local incongruent
26738	2000	global congruent
30503	2000	local congruent
36300	2000	global congruent
42048	2000	global congruent
48795	2000	local incongruent
53576	2000	global congruent
58357	2000	local incongruent
64105	2000	global incongruent
70835	2000	global congruent
74600	2000	local incongruent
78365	2000	local incongruent
83113	2000	global incongruent
86828	2000	global congruent
92559	2000	global congruent
97290	2000	global incongruent
103021	2000	local congruent
109651	2000	local congruent
115382	2000	global incongruent
120130	2000	local congruent
123845	2000	global incongruent
127693	2000	local congruent
134407	2000	local incongruent
140121	2000	local incongruent
144769	2000	local incongruent
148501	2000	global incongruent
153265	2000	local incongruent
160012	2000	global congruent
164743	2000	global congruent
171457	2000	global congruent
176188	2000	global incongruent
181903	2000	local congruent
185651	2000	local congruent
191415	2000	local incongruent
195063	2000	global incongruent
201794	2000	local congruent
206542	2000	local congruent
210307	2000	local incongruent
215071	2000	global congruent
218803	2000	global congruent
223534	2000	local congruent
230264	2000	local congruent
237011	2000	global incongruent
243742	2000	global incongruent
249389	2000	global incongruent
255137	2000	local incongruent
