onset	duration	conditions
9612	2000	global incongruent
15410	2000	local congruent
19174	2000	local incongruent
25988	2000	local incongruent
31969	2000	global congruent
36767	2000	global incongruent
42764	2000	local incongruent
47429	2000	global incongruent
51327	2000	local congruent
58141	2000	local congruent
64821	2000	global congruent
70585	2000	local incongruent
74400	2000	global congruent
80197	2000	global congruent
84979	2000	global congruent
91742	2000	global incongruent
98506	2000	local incongruent
105286	2000	local congruent
110034	2000	global congruent
115798	2000	local congruent
119597	2000	global incongruent
125477	2000	local incongruent
129159	2000	local incongruent
134907	2000	local congruent
141687	2000	global congruent
145469	2000	local congruent
152282	2000	local congruent
157080	2000	local congruent
160845	2000	global incongruent
167659	2000	local incongruent
172457	2000	local incongruent
176255	2000	global congruent
180020	2000	local congruent
186717	2000	global incongruent
192465	2000	global incongruent
196246	2000	global congruent
203026	2000	global congruent
207774	2000	local incongruent
211556	2000	global incongruent
216271	2000	local congruent
222068	2000	global incongruent
225866	2000	local incongruent
231664	2000	global congruent
238444	2000	global incongruent
243209	2000	global congruent
247940	2000	local incongruent
252704	2000	global incongruent
257452	2000	local congruent
