onset	duration	conditions
10579	2000	global congruent
14377	2000	local incongruent
18192	2000	global congruent
24989	2000	global incongruent
29804	2000	global incongruent
36584	2000	global incongruent
42382	2000	global congruent
47096	2000	global incongruent
50878	2000	global congruent
57675	2000	local incongruent
64355	2000	global congruent
68153	2000	global incongruent
72934	2000	local congruent
76633	2000	local incongruent
81447	2000	global incongruent
88278	2000	local congruent
93992	2000	local incongruent
98823	2000	global congruent
103604	2000	local incongruent
107386	2000	local congruent
114200	2000	local incongruent
118997	2000	local incongruent
123795	2000	global congruent
129593	2000	local incongruent
133374	2000	global incongruent
138156	2000	local incongruent
144936	2000	global congruent
150717	2000	global incongruent
154465	2000	local incongruent
161312	2000	local congruent
167109	2000	local congruent
173823	2000	local incongruent
179637	2000	global congruent
185468	2000	local congruent
189266	2000	global congruent
194031	2000	local congruent
199829	2000	local congruent
205609	2000	global congruent
211373	2000	local incongruent
217171	2000	global incongruent
224068	2000	global incongruent
228865	2000	global congruent
232597	2000	local congruent
239377	2000	local congruent
243192	2000	local congruent
246991	2000	global incongruent
251755	2000	local congruent
257486	2000	global incongruent
