onset	duration	conditions
7581	2000	global congruent
13395	2000	global incongruent
18210	2000	global congruent
22991	2000	global congruent
29804	2000	local congruent
35651	2000	local incongruent
40516	2000	local incongruent
44364	2000	global congruent
50229	2000	global incongruent
57075	2000	global incongruent
63873	2000	local incongruent
69753	2000	local incongruent
73485	2000	global incongruent
80299	2000	global incongruent
84163	2000	global congruent
88978	2000	local incongruent
95808	2000	global congruent
101606	2000	local congruent
106420	2000	global congruent
113234	2000	local congruent
120031	2000	local incongruent
124863	2000	global incongruent
131726	2000	global congruent
137507	2000	global congruent
144337	2000	global congruent
150201	2000	global congruent
154033	2000	global incongruent
158864	2000	local congruent
164745	2000	global incongruent
170576	2000	local incongruent
175390	2000	local incongruent
181188	2000	local congruent
187035	2000	global congruent
193932	2000	global incongruent
199746	2000	local congruent
203544	2000	local incongruent
207342	2000	local incongruent
211124	2000	local congruent
215955	2000	local congruent
220820	2000	local congruent
224635	2000	global incongruent
228483	2000	local incongruent
232298	2000	local congruent
237130	2000	global incongruent
240945	2000	local congruent
247775	2000	local congruent
252673	2000	global incongruent
259469	2000	local incongruent
