onset	duration	conditions
9729	2000	local incongruent
15626	2000	local congruent
22523	2000	local congruent
26505	2000	local incongruent
30436	2000	global incongruent
37500	2000	global congruent
41465	2000	global congruent
45280	2000	global incongruent
51227	2000	global incongruent
58141	2000	local incongruent
61939	2000	global congruent
68703	2000	global incongruent
72634	2000	local congruent
79448	2000	local congruent
86212	2000	global incongruent
91926	2000	local incongruent
96874	2000	global congruent
103587	2000	global congruent
108518	2000	local congruent
113300	2000	local congruent
116965	2000	global incongruent
122895	2000	global congruent
127677	2000	global incongruent
133457	2000	global congruent
137139	2000	local congruent
143903	2000	local incongruent
147684	2000	local incongruent
152466	2000	local congruent
158213	2000	local congruent
164110	2000	global incongruent
169025	2000	local incongruent
173806	2000	global incongruent
180603	2000	global incongruent
185284	2000	global incongruent
190049	2000	local incongruent
193831	2000	local incongruent
199595	2000	local congruent
204376	2000	local incongruent
208141	2000	local congruent
213938	2000	global incongruent
219702	2000	global congruent
226583	2000	global congruent
231381	2000	global congruent
238211	2000	local incongruent
243992	2000	local incongruent
250789	2000	local congruent
254487	2000	global congruent
259252	2000	global congruent
