onset	duration	conditions
9579	2000	local congruent
13361	2000	global incongruent
19158	2000	global congruent
25989	2000	global incongruent
32752	2000	local incongruent
39449	2000	global incongruent
45263	2000	global incongruent
51111	2000	local incongruent
56908	2000	global incongruent
60690	2000	local incongruent
64472	2000	local incongruent
68270	2000	global congruent
72068	2000	global congruent
77832	2000	local incongruent
84596	2000	local congruent
91260	2000	global congruent
96024	2000	local congruent
100839	2000	global congruent
105603	2000	local incongruent
111368	2000	local congruent
116166	2000	local congruent
120963	2000	local congruent
125645	2000	global incongruent
132441	2000	global incongruent
139222	2000	local congruent
146035	2000	local incongruent
150817	2000	global congruent
156631	2000	global congruent
162345	2000	local congruent
168109	2000	local incongruent
171891	2000	global incongruent
176589	2000	local incongruent
183352	2000	local incongruent
187151	2000	global incongruent
193848	2000	global congruent
200645	2000	global congruent
206442	2000	global incongruent
210224	2000	local incongruent
215005	2000	global incongruent
219786	2000	local incongruent
223551	2000	local congruent
227299	2000	global congruent
231064	2000	local congruent
235829	2000	global congruent
240644	2000	global incongruent
244442	2000	local congruent
250239	2000	global congruent
257003	2000	local congruent
