bids_name	aor	aqi	dummy_trs	dvars_nstd	dvars_std	dvars_vstd	efc	fber	fd_mean	fd_num	fd_perc	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	gcor	gsr_x	gsr_y	size_t	size_x	size_y	size_z	snr	spacing_tr	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_fg_k	summary_fg_mad	summary_fg_mean	summary_fg_median	summary_fg_n	summary_fg_p05	summary_fg_p95	summary_fg_stdv	tsnr
sub-004_task-smsbold2mmrun2_dir-PA_bold	0.0006427407407407406	0.004504672	0	38.290012074701494	1.0498544669402987	1.000010794029851	0.5308	205.2058	0.05034739168387795	0	0.0	3.268111762034964	3.109285	3.380685	3.3143652861048922	0.00314871	0.007162207271903753	0.01156720519065857	135	112	112	62	2.0754603581208606	2.0	2.0	2.0	2.299999952316284	51.0622	5.3483	65.4448	38.0	636426.0	33.0	220.0	99.0554	0.7439	240.6648	571.8523	539.0	141302.0	179.0	1044.0	259.7005	38.68816555570811
sub-004_task-smsbold2mmrun4_dir-PA_bold	0.0022414074074074077	0.006429303185185186	0	40.03164317007466	1.0618478144029855	1.0138801103731345	0.5305	204.7023	0.07182472695698616	0	0.0	3.2920811101845615	3.110955	3.40411	3.3611783305536838	0.00378296	0.006032880395650864	0.012963999062776566	135	112	112	62	2.036637399081571	2.0	2.0	2.0	2.299999952316284	48.3192	5.2825	66.8394	38.0	636310.0	33.0	230.0	101.566	0.9477	243.4378	578.709	543.0	141418.0	184.0	1069.0	266.615	35.641774827381596
sub-004_task-smsbold2mmrun6_dir-PA_bold	0.000811111111111111	0.004103296222222222	0	38.639945926641786	1.068055375895523	1.0129599901492539	0.5313	203.7951	0.048086164451811915	0	0.0	3.246939080818786	3.06558	3.369085	3.306152242456358	0.00451076	0.007140465080738068	0.012351042591035366	135	112	112	62	2.028627916715744	2.0	2.0	2.0	2.299999952316284	44.9068	5.1507	67.4832	38.0	636111.0	33.0	237.0	102.3321	0.9348	245.3432	578.8614	544.0	141617.0	179.0	1070.0	268.1606	39.97132715303451
sub-005_task-smsbold2mmrun2_dir-PA_bold	0.0032617037037037037	0.005190900148148148	0	39.15953795597016	1.0990168082089555	1.0352365364179101	0.5058	287.3221	0.05888705963212946	0	0.0	3.3578512552747086	3.211615	3.47723	3.3847087658241266	0.00400749	0.00038531000609509647	0.02507200464606285	135	112	112	62	1.9036710169387352	2.0	2.0	2.0	2.299999952316284	86.0737	5.8975	54.6858	33.0	627709.0	28.0	167.0	80.393	1.1124	269.8885	599.4702	554.0	150019.0	193.0	1134.0	291.0157	37.91566978557967
sub-005_task-smsbold2mmrun4_dir-PA_bold	0.0014108888888888893	0.0040816185185185185	0	39.53972306873135	1.086400212164179	1.019771365223881	0.5082	280.7554	0.0546547755709095	0	0.0	3.3014703853924114	3.151245	3.41434	3.3388261561772334	0.00526421	0.00039457742241211236	0.02561594359576702	135	112	112	62	1.9147174222804644	2.0	2.0	2.0	2.299999952316284	76.7837	5.6888	54.6887	33.0	626985.0	28.0	168.0	79.0815	1.0798	265.6933	594.3749	550.0	150743.0	191.0	1120.0	287.2477	39.50838137813844
sub-005_task-smsbold2mmrun6_dir-PA_bold	0.002022074074074074	0.005058896592592593	0	40.02534607291044	1.0922547355970154	1.0208927464179107	0.5081	282.8664	0.061239051478803534	0	0.0	3.309186834779757	3.14542	3.42711	3.35503050433927	0.00470124	-0.00045772301382385194	0.025795437395572662	135	112	112	62	1.902503833482934	2.0	2.0	2.0	2.299999952316284	73.4809	5.7767	55.2275	33.0	626928.0	28.0	172.0	80.2641	1.1463	268.0984	597.8391	552.0	150800.0	193.0	1129.0	290.143	37.87120371661149
sub-007_task-smsbold2mmrun2_dir-PA_bold	0.0008805185185185185	0.004304229407407408	0	35.74177867253731	1.0540539419402981	0.9991443107462684	0.4949	329.3226	0.047985199283432395	0	0.0	3.756155533030528	3.65048	3.88693	3.7310565990915836	0.00259618	0.0026454110629856586	0.01349572092294693	135	112	112	62	1.8643912498132265	2.0	2.0	2.0	2.299999952316284	86.7929	6.6003	57.7542	34.0	630473.0	28.0	180.0	91.7949	0.9015	305.9652	655.731	608.0	147255.0	199.0	1258.0	326.1107	40.87252755695954
sub-007_task-smsbold2mmrun4_dir-PA_bold	0.001892074074074074	0.0035337096296296296	0	37.03013354626868	1.098476286940298	1.0203905980597017	0.4974	314.5588	0.042312780930273415	0	0.0	3.730107126880531	3.650865	3.859465	3.6799913806415923	0.0019748	0.002921639708802104	0.014400815591216087	135	112	112	62	1.8538771085121428	2.0	2.0	2.0	2.299999952316284	82.1028	5.9194	58.7763	34.0	630307.0	29.0	185.0	91.7747	0.9622	305.7236	654.7376	606.0	147421.0	198.0	1262.0	326.8814	42.93792552896775
sub-007_task-smsbold2mmrun6_dir-PA_bold	0.0008138518518518518	0.0042929754814814815	0	38.009441660522384	1.068177634477612	0.9964413711940296	0.498	310.6904	0.05105960129621808	1	0.7407407407407407	3.7442550980185447	3.67351	3.86139	3.6978652940556334	0.00424163	0.0032559141982346773	0.015128592029213905	135	112	112	62	1.851816450763254	2.0	2.0	2.0	2.299999952316284	77.9062	6.0073	58.7334	34.0	630770.0	29.0	186.0	90.9901	0.9188	305.5258	649.8063	601.0	146958.0	200.0	1254.0	324.5451	40.8174752490595
sub-008_task-smsbold2mmrun2_dir-AP_bold	0.0008238518518518519	0.004708856444444444	0	39.64244512343284	1.0854771247014927	1.0151840198507465	0.5483	248.1342	0.08084629217079523	0	0.0	3.760482562085322	3.639445	3.90092	3.7410826862559667	0.004796	-0.010650161653757095	0.05582956597208977	135	112	112	62	1.8104096660121707	2.0	2.0	2.0	2.299999952316284	35.8899	8.4783	87.7157	37.0	602570.0	30.0	394.0	154.0047	1.2457	296.5918	651.866	589.0	175158.0	242.0	1272.0	325.3398	39.70634201192297
