onset	duration	conditions
8579	2000	local incongruent
15310	2000	local incongruent
19058	2000	local incongruent
22823	2000	global incongruent
29587	2000	global congruent
36350	2000	local incongruent
43114	2000	global incongruent
47862	2000	global incongruent
53609	2000	global incongruent
58357	2000	global incongruent
62122	2000	global congruent
65871	2000	global incongruent
72634	2000	global congruent
76366	2000	local congruent
83113	2000	local congruent
87844	2000	local incongruent
91609	2000	local incongruent
95358	2000	local incongruent
100005	2000	local congruent
105736	2000	global congruent
111500	2000	local congruent
117165	2000	local incongruent
120930	2000	global incongruent
126727	2000	global congruent
132374	2000	local congruent
136056	2000	global congruent
140804	2000	local congruent
146551	2000	local incongruent
152282	2000	global incongruent
159029	2000	global incongruent
162661	2000	local congruent
169425	2000	local incongruent
175172	2000	local incongruent
181819	2000	local congruent
186600	2000	global congruent
191265	2000	global incongruent
196046	2000	global congruent
200678	2000	local incongruent
207408	2000	global congruent
214172	2000	global incongruent
219936	2000	global incongruent
224667	2000	local congruent
230414	2000	local congruent
235096	2000	global congruent
241843	2000	local congruent
247590	2000	global congruent
251338	2000	local congruent
255070	2000	global congruent
