onset	duration	conditions
9595	2000	global congruent
15443	2000	global incongruent
20257	2000	local incongruent
26105	2000	local incongruent
32918	2000	global incongruent
38749	2000	global incongruent
45563	2000	local congruent
50444	2000	global congruent
57207	2000	local congruent
62022	2000	global incongruent
67836	2000	global incongruent
74683	2000	global congruent
79481	2000	global incongruent
83330	2000	local congruent
90160	2000	local incongruent
95057	2000	local congruent
98906	2000	local congruent
104720	2000	global congruent
108535	2000	local congruent
113383	2000	local congruent
119097	2000	local congruent
125927	2000	global incongruent
131774	2000	local incongruent
138588	2000	global congruent
142420	2000	global incongruent
147334	2000	global congruent
151149	2000	global congruent
158013	2000	local incongruent
163860	2000	local congruent
168775	2000	local congruent
172573	2000	global incongruent
177421	2000	local incongruent
181269	2000	global congruent
188166	2000	global congruent
194980	2000	global incongruent
198812	2000	local incongruent
203659	2000	local incongruent
209490	2000	global congruent
214222	2000	global incongruent
218003	2000	global incongruent
223784	2000	local incongruent
227632	2000	local incongruent
231447	2000	global congruent
236278	2000	global congruent
243025	2000	local incongruent
248889	2000	local congruent
252688	2000	local incongruent
259551	2000	local congruent
