onset	duration	conditions
10845	2000	local incongruent
14776	2000	local congruent
20691	2000	local congruent
27604	2000	global incongruent
31552	2000	global congruent
38449	2000	local congruent
42398	2000	global incongruent
49195	2000	local incongruent
54242	2000	local congruent
59107	2000	local congruent
65204	2000	global congruent
70885	2000	local congruent
77998	2000	global congruent
83896	2000	local incongruent
87844	2000	local incongruent
91626	2000	local congruent
96624	2000	global incongruent
100422	2000	local congruent
104370	2000	local incongruent
108168	2000	global incongruent
114966	2000	local congruent
118730	2000	global congruent
123678	2000	local incongruent
128459	2000	global incongruent
135256	2000	global congruent
142053	2000	global incongruent
145852	2000	local incongruent
152632	2000	global incongruent
157597	2000	global congruent
164410	2000	global congruent
170191	2000	global congruent
177005	2000	local incongruent
182802	2000	local incongruent
186717	2000	global congruent
193531	2000	local congruent
199478	2000	global incongruent
205259	2000	global incongruent
211073	2000	global incongruent
215887	2000	local incongruent
220669	2000	local congruent
226449	2000	global congruent
232197	2000	local incongruent
236961	2000	local incongruent
241743	2000	global congruent
247573	2000	local congruent
252388	2000	global incongruent
256186	2000	global incongruent
260967	2000	global congruent
