onset	duration	conditions
7580	2000	local incongruent
11328	2000	local congruent
17075	2000	global incongruent
20824	2000	local congruent
25572	2000	local congruent
32319	2000	global congruent
37066	2000	local incongruent
40781	2000	global incongruent
44496	2000	local incongruent
49228	2000	global incongruent
55958	2000	global incongruent
60589	2000	local congruent
67320	2000	local incongruent
72034	2000	global congruent
78748	2000	local congruent
84512	2000	global congruent
90293	2000	global congruent
96024	2000	local incongruent
101788	2000	local congruent
106569	2000	global congruent
112317	2000	local congruent
116065	2000	global incongruent
119813	2000	global congruent
126544	2000	global incongruent
130309	2000	global congruent
134073	2000	local incongruent
139704	2000	global congruent
145469	2000	local incongruent
152216	2000	local congruent
156963	2000	local incongruent
163710	2000	local incongruent
167442	2000	local congruent
172207	2000	local incongruent
177954	2000	local congruent
183702	2000	local incongruent
190482	2000	local incongruent
195196	2000	global incongruent
199928	2000	local congruent
204659	2000	global incongruent
211389	2000	global congruent
218136	2000	global incongruent
221885	2000	global incongruent
227615	2000	global incongruent
232363	2000	global congruent
239110	2000	local congruent
244842	2000	global incongruent
248573	2000	global congruent
255237	2000	global congruent
