onset	duration	conditions
7597	2000	global congruent
13328	2000	local incongruent
19075	2000	global incongruent
22807	2000	global congruent
26539	2000	global congruent
30204	2000	local congruent
34918	2000	local incongruent
39633	2000	local congruent
46363	2000	local congruent
50112	2000	local incongruent
56842	2000	global incongruent
62556	2000	local congruent
68270	2000	local congruent
74051	2000	local incongruent
80765	2000	global incongruent
84496	2000	local congruent
89211	2000	global incongruent
95941	2000	global congruent
102705	2000	local congruent
107436	2000	local congruent
112151	2000	global congruent
116882	2000	global congruent
120630	2000	global incongruent
124362	2000	local incongruent
131076	2000	global incongruent
136807	2000	global congruent
143537	2000	global congruent
148285	2000	global incongruent
155015	2000	local incongruent
161729	2000	global congruent
165461	2000	global incongruent
170192	2000	global incongruent
173907	2000	local incongruent
177638	2000	local congruent
184386	2000	local incongruent
189117	2000	local incongruent
195830	2000	local congruent
201461	2000	local congruent
206192	2000	local congruent
210008	2000	global incongruent
214722	2000	local incongruent
220453	2000	global incongruent
226184	2000	local incongruent
230915	2000	global congruent
237662	2000	local incongruent
243410	2000	global congruent
249223	2000	global congruent
254871	2000	global incongruent
