onset	duration	conditions
10578	2000	local congruent
15360	2000	local congruent
22140	2000	local congruent
25955	2000	global incongruent
29737	2000	local incongruent
34518	2000	global congruent
41298	2000	local congruent
46079	2000	global congruent
51877	2000	global congruent
56658	2000	local congruent
63438	2000	global incongruent
68236	2000	global incongruent
74000	2000	global congruent
80797	2000	global congruent
85612	2000	global incongruent
91409	2000	global congruent
97207	2000	global incongruent
100972	2000	global congruent
106736	2000	local congruent
110518	2000	local congruent
114316	2000	global congruent
119130	2000	local incongruent
123945	2000	global congruent
129659	2000	local congruent
135423	2000	local incongruent
142220	2000	local incongruent
145985	2000	global incongruent
152849	2000	local incongruent
158646	2000	local incongruent
163477	2000	local incongruent
169275	2000	global incongruent
176039	2000	global incongruent
180853	2000	global incongruent
184668	2000	local incongruent
188533	2000	global congruent
194314	2000	global incongruent
201111	2000	global congruent
207791	2000	global incongruent
211556	2000	local congruent
215238	2000	local incongruent
222001	2000	local incongruent
228732	2000	global congruent
234513	2000	local incongruent
239294	2000	local congruent
245058	2000	local congruent
248940	2000	global incongruent
253737	2000	local incongruent
257519	2000	local congruent
