onset	duration	conditions
7597	2000	local congruent
12395	2000	local congruent
19192	2000	global incongruent
26022	2000	local congruent
31870	2000	global incongruent
38667	2000	local incongruent
42482	2000	local incongruent
47263	2000	local incongruent
53044	2000	global congruent
59824	2000	local congruent
64622	2000	global incongruent
71485	2000	global incongruent
75267	2000	global incongruent
80032	2000	global congruent
86845	2000	local congruent
92759	2000	local congruent
96541	2000	global incongruent
102338	2000	local incongruent
108102	2000	local congruent
112900	2000	global congruent
116683	2000	global congruent
122480	2000	global congruent
127294	2000	local congruent
132092	2000	global incongruent
138839	2000	local incongruent
143620	2000	global incongruent
147402	2000	local incongruent
151183	2000	local congruent
154965	2000	global incongruent
159763	2000	local congruent
165577	2000	global incongruent
170392	2000	global congruent
177188	2000	global congruent
181986	2000	local incongruent
186784	2000	local incongruent
190599	2000	local congruent
196380	2000	local congruent
203177	2000	global incongruent
209957	2000	global congruent
215771	2000	local incongruent
221552	2000	global incongruent
227300	2000	local incongruent
231081	2000	global congruent
234896	2000	local incongruent
241694	2000	local incongruent
247458	2000	global congruent
251222	2000	global congruent
258053	2000	global congruent
