onset	duration	conditions
10745	2000	global congruent
14694	2000	local congruent
20508	2000	global incongruent
24423	2000	local incongruent
30387	2000	local incongruent
35318	2000	local congruent
39033	2000	local incongruent
43032	2000	global congruent
46830	2000	local incongruent
51777	2000	local incongruent
56709	2000	global congruent
62689	2000	global congruent
66621	2000	global incongruent
73434	2000	local congruent
80265	2000	local congruent
87245	2000	local incongruent
93142	2000	local congruent
98973	2000	local congruent
105770	2000	global congruent
112617	2000	global incongruent
117365	2000	global congruent
121213	2000	global congruent
125128	2000	global incongruent
129959	2000	local congruent
135774	2000	global congruent
140588	2000	local congruent
146402	2000	global congruent
152233	2000	global incongruent
156065	2000	local congruent
162845	2000	local incongruent
167709	2000	local incongruent
173507	2000	local incongruent
177455	2000	local congruent
183236	2000	local incongruent
188117	2000	local incongruent
193032	2000	global incongruent
199845	2000	global incongruent
205676	2000	global incongruent
212489	2000	global congruent
216288	2000	global incongruent
221086	2000	global incongruent
226883	2000	local congruent
233714	2000	local congruent
238528	2000	global incongruent
245308	2000	local incongruent
249123	2000	global congruent
255954	2000	global incongruent
260668	2000	global congruent
