onset	duration	conditions
10595	2000	global congruent
15326	2000	local congruent
20057	2000	global incongruent
26788	2000	global incongruent
31469	2000	global congruent
37200	2000	local incongruent
44013	2000	local congruent
48745	2000	global congruent
55375	2000	local incongruent
61123	2000	local incongruent
67853	2000	local incongruent
71568	2000	local congruent
76282	2000	global incongruent
80014	2000	global congruent
85728	2000	local incongruent
90477	2000	local congruent
97207	2000	global incongruent
102921	2000	global congruent
109634	2000	global congruent
113366	2000	global incongruent
119097	2000	global congruent
122828	2000	global incongruent
126577	2000	global incongruent
131325	2000	global incongruent
135057	2000	local congruent
140804	2000	global incongruent
144502	2000	local incongruent
149233	2000	local incongruent
153965	2000	local incongruent
159695	2000	local congruent
166442	2000	local congruent
172173	2000	global incongruent
175905	2000	global congruent
180653	2000	global congruent
187383	2000	global congruent
191098	2000	local incongruent
195830	2000	local congruent
201544	2000	global congruent
207274	2000	local congruent
211023	2000	global congruent
215754	2000	local incongruent
222468	2000	global incongruent
229198	2000	local congruent
232913	2000	local incongruent
238644	2000	global incongruent
242392	2000	local congruent
249139	2000	local incongruent
254870	2000	local congruent
