onset	duration	conditions
9663	2000	global congruent
14560	2000	global incongruent
18559	2000	local incongruent
24539	2000	global incongruent
30570	2000	local incongruent
37500	2000	local congruent
44331	2000	local congruent
50411	2000	local congruent
55392	2000	local congruent
60090	2000	global incongruent
65088	2000	local incongruent
71802	2000	local congruent
77583	2000	global incongruent
82264	2000	local congruent
86945	2000	local incongruent
91776	2000	local congruent
98657	2000	global congruent
104404	2000	global incongruent
110152	2000	local congruent
114016	2000	global congruent
118931	2000	global congruent
122812	2000	local congruent
127577	2000	global congruent
131309	2000	local congruent
135957	2000	local incongruent
141721	2000	local congruent
145602	2000	global incongruent
151383	2000	local incongruent
157231	2000	global congruent
164111	2000	global incongruent
170858	2000	global incongruent
174606	2000	global congruent
178388	2000	global congruent
182153	2000	local incongruent
187884	2000	local incongruent
194647	2000	global congruent
198496	2000	local congruent
205176	2000	global congruent
208824	2000	global incongruent
212539	2000	global incongruent
219520	2000	local incongruent
224251	2000	global incongruent
228999	2000	global congruent
235846	2000	global incongruent
242576	2000	local incongruent
246308	2000	local incongruent
252055	2000	global congruent
258819	2000	local incongruent
