onset	duration	conditions
9579	2000	global incongruent
16392	2000	global congruent
22173	2000	global congruent
25988	2000	local incongruent
31769	2000	local congruent
38566	2000	global congruent
44363	2000	global congruent
48162	2000	local congruent
54992	2000	global incongruent
58790	2000	global incongruent
65504	2000	local incongruent
69302	2000	local incongruent
74083	2000	local incongruent
77798	2000	local congruent
84612	2000	global incongruent
88394	2000	local congruent
93175	2000	global incongruent
97973	2000	local incongruent
103787	2000	local incongruent
108618	2000	local congruent
113433	2000	local incongruent
120213	2000	local congruent
125011	2000	local congruent
130808	2000	global congruent
134623	2000	local incongruent
138422	2000	global congruent
142237	2000	global congruent
149050	2000	global congruent
155847	2000	local congruent
161745	2000	global incongruent
165526	2000	global incongruent
169241	2000	global congruent
176038	2000	local congruent
180836	2000	global congruent
185634	2000	global incongruent
192414	2000	local incongruent
197196	2000	global congruent
201977	2000	local congruent
205842	2000	global incongruent
212622	2000	global incongruent
218403	2000	local incongruent
223184	2000	global incongruent
227949	2000	global congruent
233746	2000	local congruent
240526	2000	local incongruent
246307	2000	local incongruent
252071	2000	local congruent
257769	2000	global incongruent
