onset	duration	conditions
7597	2000	global congruent
12479	2000	global congruent
19242	2000	global incongruent
23173	2000	local incongruent
26972	2000	global incongruent
30753	2000	global incongruent
37517	2000	global incongruent
43298	2000	global incongruent
48079	2000	local congruent
54843	2000	local incongruent
59607	2000	global incongruent
65388	2000	local incongruent
71185	2000	local congruent
75867	2000	local congruent
81647	2000	global incongruent
85446	2000	local incongruent
91193	2000	global congruent
94975	2000	global congruent
100739	2000	global congruent
107552	2000	local incongruent
112334	2000	local incongruent
118098	2000	global congruent
123812	2000	global incongruent
127610	2000	local congruent
131409	2000	local congruent
138255	2000	global congruent
142070	2000	local incongruent
146935	2000	local congruent
151750	2000	global congruent
158530	2000	global congruent
165310	2000	local congruent
170075	2000	local incongruent
174839	2000	global incongruent
178521	2000	local congruent
182319	2000	global incongruent
188117	2000	local congruent
191915	2000	global congruent
198712	2000	local congruent
203493	2000	local incongruent
210357	2000	local incongruent
216137	2000	local incongruent
222918	2000	global congruent
229731	2000	local congruent
235479	2000	local incongruent
242259	2000	global incongruent
248040	2000	local congruent
252821	2000	global congruent
257486	2000	global incongruent
