onset	duration	conditions
8580	2000	local congruent
14344	2000	global incongruent
18125	2000	global incongruent
24856	2000	global congruent
28604	2000	global congruent
34351	2000	local congruent
39099	2000	global congruent
42864	2000	global congruent
47662	2000	local incongruent
51411	2000	global congruent
58141	2000	global incongruent
62889	2000	global incongruent
69653	2000	local congruent
74434	2000	global congruent
78182	2000	local congruent
82930	2000	global incongruent
86678	2000	local incongruent
90410	2000	local incongruent
97157	2000	global incongruent
103904	2000	global congruent
109701	2000	global congruent
116432	2000	local incongruent
122196	2000	global congruent
127960	2000	local incongruent
132741	2000	local incongruent
139371	2000	global incongruent
145152	2000	local incongruent
149900	2000	local incongruent
153665	2000	local congruent
158413	2000	local congruent
165160	2000	global congruent
168908	2000	global incongruent
173656	2000	local congruent
178387	2000	global incongruent
184135	2000	global congruent
188866	2000	global congruent
195596	2000	local congruent
202277	2000	local congruent
209007	2000	local incongruent
212756	2000	local incongruent
216521	2000	global incongruent
220302	2000	local congruent
226033	2000	global incongruent
232780	2000	local incongruent
238527	2000	local incongruent
244308	2000	local congruent
250072	2000	global incongruent
255820	2000	local congruent
