onset	duration	conditions
8580	2000	global incongruent
12378	2000	local congruent
18192	2000	local incongruent
21991	2000	global congruent
25806	2000	local congruent
29621	2000	global incongruent
33436	2000	global incongruent
38233	2000	global incongruent
45047	2000	local congruent
48879	2000	local incongruent
53660	2000	local congruent
58424	2000	global congruent
65205	2000	global congruent
70053	2000	global incongruent
76850	2000	local incongruent
80665	2000	global congruent
84480	2000	global congruent
90294	2000	global incongruent
96091	2000	local incongruent
100906	2000	local incongruent
107719	2000	global incongruent
111534	2000	local incongruent
117448	2000	global incongruent
124245	2000	global congruent
129043	2000	local congruent
134957	2000	local congruent
139739	2000	local incongruent
146552	2000	global incongruent
152349	2000	local incongruent
158114	2000	global congruent
163911	2000	local congruent
168742	2000	global congruent
172541	2000	local congruent
179238	2000	global incongruent
186051	2000	local congruent
191849	2000	local congruent
198662	2000	local incongruent
202494	2000	global incongruent
209208	2000	local incongruent
214006	2000	local incongruent
220769	2000	global congruent
225584	2000	local congruent
231365	2000	global incongruent
238145	2000	local congruent
242926	2000	global congruent
246724	2000	local incongruent
252522	2000	global congruent
258303	2000	global congruent
