onset	duration	conditions
8580	2000	global congruent
14377	2000	local congruent
18175	2000	global incongruent
23856	2000	global incongruent
30603	2000	global congruent
36367	2000	local congruent
42165	2000	global congruent
45963	2000	local incongruent
50711	2000	local congruent
55509	2000	local incongruent
62306	2000	global incongruent
67070	2000	local incongruent
71852	2000	global incongruent
78632	2000	local incongruent
85413	2000	local congruent
92193	2000	global congruent
97990	2000	local incongruent
104654	2000	local congruent
111434	2000	global incongruent
117215	2000	local congruent
120997	2000	global congruent
124895	2000	local incongruent
128677	2000	local congruent
132458	2000	global congruent
138256	2000	local incongruent
142071	2000	global incongruent
145836	2000	local incongruent
149601	2000	global incongruent
154365	2000	local congruent
160129	2000	global incongruent
166943	2000	local incongruent
172707	2000	global congruent
177488	2000	global incongruent
182253	2000	local congruent
187134	2000	local incongruent
192932	2000	global incongruent
199745	2000	local congruent
203460	2000	local congruent
208208	2000	global congruent
213972	2000	global congruent
218753	2000	global congruent
222535	2000	local congruent
228316	2000	local incongruent
233197	2000	global incongruent
237012	2000	global congruent
243776	2000	local incongruent
250656	2000	global incongruent
257420	2000	global congruent
