onset	duration	conditions
8579	2000	global incongruent
12311	2000	global incongruent
16043	2000	global incongruent
20791	2000	global incongruent
25522	2000	local congruent
31303	2000	global incongruent
35068	2000	global congruent
40782	2000	global congruent
47529	2000	local incongruent
53276	2000	local incongruent
59024	2000	local congruent
64771	2000	local incongruent
70402	2000	local congruent
74167	2000	global congruent
77949	2000	global incongruent
82696	2000	local incongruent
87444	2000	global congruent
92192	2000	local congruent
95941	2000	local congruent
100688	2000	local congruent
107452	2000	local incongruent
114182	2000	global congruent
117914	2000	local incongruent
123661	2000	global incongruent
128409	2000	local incongruent
135156	2000	local congruent
138921	2000	global congruent
142686	2000	local incongruent
147434	2000	global congruent
152166	2000	global congruent
158813	2000	local congruent
164560	2000	global congruent
169308	2000	global incongruent
173073	2000	local congruent
178820	2000	local incongruent
184551	2000	local congruent
189282	2000	local incongruent
196013	2000	local incongruent
201743	2000	global incongruent
208490	2000	global incongruent
215221	2000	global incongruent
221968	2000	global congruent
228748	2000	local congruent
232497	2000	local incongruent
236245	2000	local congruent
241976	2000	global congruent
248723	2000	global congruent
255370	2000	global incongruent
