onset	duration	conditions
10728	2000	global incongruent
16742	2000	local congruent
20707	2000	global congruent
24622	2000	global incongruent
31552	2000	local congruent
37350	2000	local congruent
41315	2000	local incongruent
48128	2000	global congruent
53059	2000	local incongruent
56841	2000	global congruent
63655	2000	local congruent
67486	2000	global congruent
73317	2000	local congruent
79315	2000	local incongruent
86261	2000	local incongruent
90226	2000	local congruent
95191	2000	global congruent
99022	2000	local congruent
104953	2000	global incongruent
109668	2000	global incongruent
114699	2000	local congruent
120513	2000	global incongruent
126277	2000	global incongruent
133074	2000	local congruent
139904	2000	global incongruent
143719	2000	global incongruent
150533	2000	local incongruent
155331	2000	global incongruent
159146	2000	local incongruent
164060	2000	local congruent
167875	2000	global incongruent
172673	2000	global congruent
176488	2000	local incongruent
183285	2000	global congruent
190082	2000	global congruent
196013	2000	local incongruent
200794	2000	global incongruent
206525	2000	global congruent
211373	2000	local incongruent
217203	2000	global congruent
222001	2000	global congruent
226799	2000	local congruent
233596	2000	local incongruent
238394	2000	local incongruent
244175	2000	local incongruent
250988	2000	global incongruent
256919	2000	global congruent
260667	2000	local congruent
