trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.00457561	0.00259
0.0063	0.0238	-0.0432	8.901179185171081e-05	-8.028514559173915e-05	1.5707963267948964e-05	1.20966828	44.88584518	1.07139251	0.08255024503556996	0.00531393	0.00336
0.0006	0.0247	-0.0461	0.0002181661564992912	-3.4906585039886588e-06	7.67944870877505e-05	1.09686112	40.70003128	1.00715202	0.02285176877775662	0.00504762	0.00204
-0.0042	0.0003	-0.0646	0.0003769911184307752	-4.18879020478639e-05	2.4434609527920616e-05	1.11518562	41.37997818	1.02149257	0.06017910415175945	0.00555217	0.00206
0.002	0.0226	-0.0347	0.00022340214425527416	-0.00010471975511965978	7.330382858376184e-05	1.09185624	40.51432037	1.01112901	0.0716645023151569	0.00508833	0.00131
-0.0007	0.0235	-0.0513	0.00032463124087094524	-0.0001675516081914556	6.981317007977319e-05	1.13914835	42.26913834	1.03019956	0.028577580409572777	0.00516391	0.00165
0.0027	0.0163	-0.0955	0.0006544984694978735	-0.00013264502315156904	4.71238898038469e-05	1.13237691	42.01787567	1.01611931	0.07417315469713706	0.00585914	0.00189
0.0072	0.0052	-0.0004	-5.235987755982988e-06	-0.0001605702911834783	0.000158824961931484	1.122082	41.6358757	1.01276573	0.15066803987067015	0.00361639	0.00061
0.0043	0.0262	-0.0253	0.0002565634000431664	-0.0001291543646475804	0.0001658062789394613	1.10644078	41.0554924	1.01420222	0.06380983156715123	0.00420183	0.00092
0.0001	0.0223	0.0042	9.42477796076938e-05	-2.792526803190927e-05	0.0001884955592153876	1.08845115	40.38796997	1.00049653	0.05191169986635349	0.00409162	0.00087
-0.0034	0.0253	-0.038	0.00042411500823462205	-7.330382858376184e-05	0.00015184364492350666	1.11196601	41.26051331	1.01171785	0.06929488517353308	0.0040561	0.00071
-0.006	0.0203	0.0082	1.5707963267948964e-05	-2.4434609527920616e-05	0.00022689280275926284	1.04238093	38.6784935	0.98072413	0.08041627109291352	0.00366265	0.00082
-0.0061	0.0241	-0.0057	0.0001012290966156711	-7.330382858376184e-05	0.0002024581932313422	1.07127953	39.7508049	1.00012473	0.0257412480965742	0.00464112	0.00106
-0.0046	0.0311	-0.0385	0.0003193952531149623	-4.886921905584123e-05	0.00018675022996339323	1.08380556	40.21559143	1.00781358	0.05421543646475804	0.0048539	0.0012
-0.0019	0.0279	-0.0572	0.00038571776469074686	-0.00012740903539558605	0.0002443460952792061	1.05019498	38.96844101	0.98403731	0.03472290966156712	0.00489992	0.00127
-0.0031	0.0196	-0.0301	0.0004136430327226561	-6.283185307179586e-05	0.00024609142453120044	1.04216945	38.67064667	0.98943884	0.041312388980384696	0.00435042	0.001
-0.0054	0.0223	0.0138	0.0002024581932313422	1.7453292519943294e-06	0.0002670353755551324	1.14996874	42.67063904	1.03942549	0.06373529864195181	0.00410938	0.00106
-0.007	0.0282	0.0515	-8.901179185171081e-05	-0.0001012290966156711	0.0001675516081914556	1.16389656	43.18744278	1.03983753	0.06989640891571976	0.00303912	0.00055
-0.002	0.0032	0.1083	-0.0006824237375297829	-0.0001308996938995747	0.00023387411976724014	1.07300079	39.81467056	0.99655655	0.121270252726888	0.00299788	0.00042
-0.0039	0.0276	0.1088	-0.0006178465552059926	-0.0002129301687433082	0.00019024088846738194	1.08986318	40.44036865	1.00884314	0.0363120444233691	0.00311577	0.00055
-0.0104	0.0232	0.0912	-0.00042411500823462205	-0.0001186823891356144	0.0001291543646475804	1.0722512	39.7868576	0.99119216	0.04595329251994328	0.00320143	0.00051
-0.0128	0.0119	0.0944	-0.0005323254218582705	-0.00011170107212763708	0.00017976891295541595	1.03175545	38.28422546	0.96480085	0.02519031394697305	0.00296205	0.00056
-0.0112	0.0253	0.1049	-0.000577703982410123	-0.00014137166941154068	0.0001972222054753592	1.03101945	38.25691605	0.97109197	0.030125122517784965	0.0030064	0.00039
-0.0076	0.0192	0.0971	-0.0004729842272904633	-0.000307177948351002	0.00019896753472735358	1.04009485	38.59366608	0.97742583	0.03111356816555576	0.00308299	0.00039
-0.007	0.0215	0.1061	-0.0005305800926062762	-0.00030368728984701333	0.00018500490071139895	1.03937101	38.56680679	0.96801326	0.015652457891787805	0.0030601	0.0004
-0.0097	0.0213	0.0707	-0.0004310963252425994	-0.00029496064358704166	0.0001605702911834783	1.04390597	38.73508072	0.97308842	0.04493225115757845	0.00289208	0.00042
-0.0097	0.0122	0.0841	-0.000582939970166106	-0.00023911010752322313	0.0001832595714594046	1.02923179	38.19058228	0.96923207	0.03401917306316256	0.00286162	0.00046
-0.0046	0.0196	0.0968	-0.0006702064327658224	-0.00030368728984701333	0.0002443460952792061	1.05682433	39.21442795	0.98250518	0.03584650843716541	0.00285488	0.00045
-0.0132	0.0164	0.0945	-0.0006161012259539982	-0.0003106686068549907	0.00019198621771937622	1.04793787	38.88468933	0.9794488	0.019772320068981566	0.00294602	0.00043
-0.0189	0.009	0.0901	-0.0005218534463463045	-0.0003787364476827695	0.00016929693744344995	1.06052089	39.35159302	0.98061903	0.02675024503556994	0.00286084	0.00037
