onset	duration	conditions
10778	2000	global incongruent
17726	2000	local congruent
24772	2000	local incongruent
29737	2000	global congruent
35584	2000	global incongruent
40532	2000	local incongruent
46446	2000	local incongruent
53243	2000	local incongruent
57374	2000	global congruent
64155	2000	local congruent
70285	2000	global congruent
75250	2000	local congruent
81214	2000	local congruent
86128	2000	global congruent
90043	2000	global incongruent
95924	2000	local congruent
102721	2000	global congruent
106536	2000	local incongruent
112350	2000	global incongruent
118081	2000	global congruent
124895	2000	global incongruent
131692	2000	global incongruent
136506	2000	global congruent
143336	2000	global congruent
149117	2000	global incongruent
153915	2000	local incongruent
158830	2000	global incongruent
162628	2000	local incongruent
169442	2000	local incongruent
173207	2000	global congruent
177938	2000	local congruent
182752	2000	local incongruent
189666	2000	global congruent
194465	2000	local congruent
198395	2000	local congruent
204193	2000	global congruent
208941	2000	global incongruent
212756	2000	local incongruent
218570	2000	local incongruent
223451	2000	global incongruent
227283	2000	local congruent
234080	2000	local congruent
237911	2000	global incongruent
241726	2000	local congruent
245525	2000	global congruent
249356	2000	global incongruent
255137	2000	local incongruent
261034	2000	local congruent
