onset	duration	conditions
7580	2000	global incongruent
12361	2000	global incongruent
18142	2000	local congruent
24922	2000	local incongruent
29720	2000	global congruent
34518	2000	global congruent
39299	2000	local congruent
46096	2000	local incongruent
50877	2000	global incongruent
55575	2000	local congruent
61372	2000	local incongruent
65138	2000	global incongruent
70935	2000	global incongruent
77732	2000	global incongruent
81497	2000	local incongruent
87278	2000	global congruent
94091	2000	global congruent
98956	2000	global incongruent
104737	2000	global incongruent
109485	2000	local congruent
115265	2000	local congruent
119097	2000	global congruent
125894	2000	global congruent
132691	2000	local congruent
137489	2000	global congruent
143270	2000	local congruent
147101	2000	local incongruent
150816	2000	global congruent
154631	2000	local incongruent
158396	2000	local congruent
164177	2000	global congruent
170974	2000	local congruent
175755	2000	local incongruent
182452	2000	local congruent
186251	2000	local congruent
192048	2000	local incongruent
197846	2000	global incongruent
201644	2000	global congruent
208441	2000	global incongruent
212223	2000	global incongruent
216987	2000	local incongruent
222851	2000	global congruent
228649	2000	local incongruent
232447	2000	local congruent
239227	2000	global incongruent
246008	2000	local incongruent
250805	2000	local incongruent
257569	2000	global congruent
