onset	duration	conditions
10762	2000	local congruent
14693	2000	global congruent
20657	2000	global incongruent
27554	2000	global incongruent
31353	2000	local incongruent
36284	2000	global congruent
43064	2000	local congruent
47845	2000	global congruent
53543	2000	global incongruent
57441	2000	global incongruent
64371	2000	local incongruent
69286	2000	local congruent
75367	2000	local incongruent
82163	2000	local congruent
86945	2000	local congruent
90743	2000	global congruent
97523	2000	global incongruent
102454	2000	local incongruent
106269	2000	local incongruent
111184	2000	global incongruent
114982	2000	local incongruent
120946	2000	local congruent
126744	2000	local congruent
131525	2000	local incongruent
137322	2000	global incongruent
142103	2000	global congruent
148067	2000	global congruent
152948	2000	global incongruent
156847	2000	local congruent
161661	2000	global incongruent
165460	2000	global incongruent
172257	2000	local incongruent
177038	2000	local incongruent
180836	2000	local congruent
187800	2000	global congruent
193597	2000	global congruent
200328	2000	global congruent
205142	2000	local congruent
211856	2000	global congruent
215621	2000	global congruent
219419	2000	local congruent
223284	2000	global incongruent
229048	2000	local incongruent
235845	2000	global incongruent
241709	2000	local congruent
248489	2000	local incongruent
254270	2000	local incongruent
259951	2000	global congruent
