onset	duration	conditions
8579	2000	local incongruent
15376	2000	global congruent
22140	2000	global incongruent
25988	2000	local incongruent
29820	2000	global congruent
33635	2000	local congruent
39432	2000	local congruent
43247	2000	local incongruent
50078	2000	local incongruent
55892	2000	global incongruent
62722	2000	local congruent
68553	2000	global incongruent
72334	2000	global incongruent
76149	2000	local congruent
81947	2000	local congruent
85745	2000	global congruent
92559	2000	global incongruent
96340	2000	local congruent
102171	2000	local incongruent
107969	2000	global incongruent
114766	2000	global congruent
119564	2000	global incongruent
125377	2000	local congruent
130225	2000	local incongruent
137039	2000	local incongruent
141854	2000	local incongruent
146685	2000	global congruent
150500	2000	local incongruent
157314	2000	local incongruent
163227	2000	global congruent
170008	2000	local congruent
176805	2000	local congruent
181586	2000	global incongruent
186400	2000	local congruent
193181	2000	global congruent
197979	2000	global incongruent
203793	2000	global congruent
209607	2000	global congruent
214438	2000	local congruent
221252	2000	global incongruent
225100	2000	global incongruent
229898	2000	global congruent
233696	2000	global incongruent
239493	2000	local incongruent
244275	2000	local congruent
248090	2000	global congruent
253920	2000	local incongruent
258735	2000	global congruent
