onset	duration	conditions
9613	2000	local incongruent
14361	2000	local incongruent
21074	2000	global incongruent
25706	2000	global incongruent
32453	2000	local congruent
38200	2000	global incongruent
44931	2000	local congruent
49645	2000	local congruent
54360	2000	global congruent
60124	2000	global incongruent
66854	2000	local incongruent
71569	2000	global incongruent
75300	2000	local congruent
81014	2000	global congruent
87761	2000	global congruent
94492	2000	global congruent
99240	2000	local congruent
102955	2000	local congruent
106670	2000	global congruent
110401	2000	global incongruent
117132	2000	local congruent
121846	2000	global congruent
125561	2000	global incongruent
132275	2000	local incongruent
137056	2000	global congruent
143803	2000	global incongruent
148451	2000	local incongruent
153182	2000	global incongruent
159913	2000	global congruent
163644	2000	local incongruent
169375	2000	local congruent
173007	2000	global congruent
176738	2000	global congruent
182486	2000	global congruent
186201	2000	local congruent
191915	2000	local incongruent
197629	2000	global congruent
202377	2000	local congruent
209124	2000	local incongruent
212889	2000	local incongruent
216621	2000	global incongruent
222368	2000	local congruent
228099	2000	local incongruent
231814	2000	local incongruent
236545	2000	local incongruent
242309	2000	local congruent
248040	2000	global incongruent
254787	2000	global incongruent
