onset	duration	conditions
10579	2000	global congruent
15377	2000	global incongruent
19175	2000	local incongruent
25006	2000	global congruent
30803	2000	local congruent
35584	2000	local incongruent
42381	2000	global incongruent
47179	2000	global incongruent
52977	2000	local incongruent
57858	2000	local incongruent
64571	2000	global congruent
70369	2000	global incongruent
74167	2000	local congruent
79965	2000	global incongruent
86745	2000	local incongruent
90543	2000	local incongruent
96341	2000	local congruent
101172	2000	global incongruent
106020	2000	global congruent
112850	2000	local congruent
117648	2000	local congruent
121430	2000	global congruent
125245	2000	global incongruent
130042	2000	local congruent
134807	2000	global congruent
140621	2000	global congruent
145436	2000	global congruent
152233	2000	local congruent
158013	2000	global incongruent
163811	2000	local congruent
168609	2000	local incongruent
175389	2000	global incongruent
180203	2000	local congruent
186968	2000	local incongruent
190749	2000	global incongruent
196613	2000	global congruent
203393	2000	local incongruent
209191	2000	local incongruent
212989	2000	local incongruent
219803	2000	global incongruent
223601	2000	global congruent
227399	2000	local congruent
234196	2000	global congruent
239944	2000	local incongruent
243826	2000	global incongruent
247607	2000	local congruent
254404	2000	local congruent
258202	2000	global congruent
