onset	duration	conditions
8746	2000	local incongruent
15693	2000	local congruent
19642	2000	global congruent
24589	2000	local congruent
30537	2000	local incongruent
34634	2000	local congruent
41548	2000	global congruent
48478	2000	local incongruent
53443	2000	global congruent
60223	2000	global congruent
64155	2000	global incongruent
71085	2000	global incongruent
74884	2000	global congruent
78865	2000	local incongruent
82663	2000	local congruent
88744	2000	global congruent
95574	2000	global incongruent
100589	2000	global incongruent
107319	2000	local congruent
113283	2000	global incongruent
120063	2000	local congruent
123862	2000	local incongruent
129676	2000	global congruent
135723	2000	local congruent
141504	2000	global incongruent
146202	2000	local incongruent
149983	2000	global congruent
154781	2000	local incongruent
161578	2000	local incongruent
166376	2000	global incongruent
172190	2000	local incongruent
176988	2000	global congruent
181769	2000	local congruent
185518	2000	global incongruent
192315	2000	local incongruent
197213	2000	local congruent
203010	2000	local congruent
206742	2000	global incongruent
211589	2000	global incongruent
217387	2000	local incongruent
223201	2000	local congruent
227982	2000	global congruent
231747	2000	local congruent
238528	2000	global incongruent
244342	2000	global incongruent
248123	2000	local incongruent
253921	2000	global congruent
260801	2000	global congruent
