onset	duration	conditions
10712	2000	global incongruent
15693	2000	local incongruent
21624	2000	global congruent
27371	2000	global congruent
31203	2000	local congruent
35118	2000	local incongruent
39083	2000	global incongruent
43881	2000	local incongruent
50644	2000	global congruent
55759	2000	global congruent
62706	2000	local incongruent
69619	2000	local congruent
75733	2000	local incongruent
81664	2000	global incongruent
88544	2000	global incongruent
93375	2000	global incongruent
97191	2000	local incongruent
102988	2000	local incongruent
108918	2000	local congruent
112833	2000	global congruent
117631	2000	global incongruent
124428	2000	local incongruent
131192	2000	local congruent
137006	2000	local incongruent
142820	2000	local congruent
146618	2000	local congruent
150433	2000	global congruent
157264	2000	global congruent
161095	2000	global incongruent
166876	2000	global congruent
173673	2000	local incongruent
177555	2000	local congruent
181370	2000	global congruent
186167	2000	global congruent
189966	2000	global incongruent
195763	2000	global incongruent
200594	2000	global incongruent
206375	2000	local congruent
213205	2000	global incongruent
218037	2000	local congruent
222851	2000	global congruent
227649	2000	local incongruent
231447	2000	local incongruent
238261	2000	global congruent
245075	2000	local congruent
249873	2000	local congruent
255687	2000	global incongruent
260484	2000	local congruent
