onset	duration	conditions
8580	2000	global incongruent
12361	2000	local incongruent
19075	2000	global incongruent
25889	2000	global congruent
30703	2000	local congruent
35518	2000	local congruent
40249	2000	global congruent
47046	2000	local congruent
53859	2000	global congruent
57674	2000	local congruent
61506	2000	local incongruent
66304	2000	global congruent
70102	2000	local congruent
75883	2000	local incongruent
79681	2000	global incongruent
83496	2000	local incongruent
89327	2000	global congruent
96174	2000	global incongruent
100972	2000	local incongruent
107769	2000	global congruent
112583	2000	global incongruent
119397	2000	local congruent
123312	2000	global incongruent
129093	2000	global congruent
133891	2000	global congruent
140688	2000	local incongruent
146468	2000	local incongruent
152266	2000	global incongruent
156081	2000	global congruent
160912	2000	local congruent
164727	2000	global incongruent
170541	2000	global incongruent
176355	2000	local incongruent
180153	2000	global congruent
186034	2000	local congruent
191848	2000	local congruent
198645	2000	local incongruent
203444	2000	local incongruent
207241	2000	local congruent
212056	2000	global incongruent
218819	2000	global incongruent
225616	2000	local congruent
230398	2000	local incongruent
236195	2000	local congruent
243009	2000	local incongruent
248889	2000	global incongruent
254587	2000	global congruent
258385	2000	global congruent
