onset	duration	conditions
10579	2000	local incongruent
17292	2000	global congruent
22024	2000	local incongruent
27754	2000	global incongruent
33468	2000	global incongruent
39233	2000	global incongruent
44930	2000	global congruent
49645	2000	global incongruent
55375	2000	global congruent
62139	2000	local incongruent
68886	2000	global congruent
72601	2000	global incongruent
79348	2000	global congruent
84063	2000	local congruent
89777	2000	global congruent
93508	2000	global congruent
98240	2000	global incongruent
102954	2000	local incongruent
106686	2000	local congruent
113400	2000	global incongruent
118064	2000	global incongruent
123795	2000	local incongruent
127527	2000	local congruent
131242	2000	local incongruent
135973	2000	global congruent
142703	2000	local congruent
148451	2000	local incongruent
152182	2000	local congruent
156930	2000	local congruent
163644	2000	local incongruent
170358	2000	global incongruent
175072	2000	global congruent
180803	2000	local congruent
187517	2000	local congruent
192231	2000	local incongruent
195880	2000	global congruent
201610	2000	local congruent
205242	2000	global congruent
209957	2000	global congruent
215687	2000	local incongruent
220419	2000	local congruent
224167	2000	local incongruent
230914	2000	local congruent
234646	2000	global incongruent
240360	2000	local congruent
247057	2000	global incongruent
250788	2000	local incongruent
254520	2000	global incongruent
