trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.00501931	0.00193
0.005	0.0055	0.0162	5.585053606381854e-05	0.00034557519189487725	-5.235987755982988e-06	1.10243714	40.3129921	1.02944864	0.04703308578573394	0.00466549	0.00097
0.0057	-0.0028	0.0453	-0.00022863813201125715	0.00034033920413889426	5.061454830783555e-05	1.0951941	40.04813385	1.0258821	0.05537875959474386	0.00549382	0.00177
0.005	-0.016	0.0087	-0.0001256637061435917	0.00023911010752322313	8.726646259971648e-06	1.07311153	39.24063873	1.00845212	0.06280457122656001	0.0045861	0.0014
0.002	0.0054	0.0337	-0.00010297442586766544	0.00035604716740684323	-0.00011170107212763708	0.99374294	36.33835602	0.98373752	0.06240270292735775	0.00431746	0.00092
0.011	-0.0239	0.0199	-9.075712110370512e-05	0.00038397243543875244	-1.7453292519943296e-05	1.02031183	37.30990219	0.99268121	0.05881951762017817	0.00457859	0.00106
0.0101	-0.003	0.022	-0.00041189770347066176	0.0002722713633111154	-0.00019547687622336493	1.04445219	38.19264984	0.99892022	0.054443261909900766	0.00554723	0.00114
0.0033	0.0048	0.0377	-0.00020420352248333657	0.0005044001538263612	-0.0003944444109507184	1.03241682	37.75254822	0.98980166	0.062239525311496235	0.00423253	0.00081
0.0062	-0.0007	0.0377	-0.0005480333851262194	0.0004136430327226561	-0.0003385938748868999	1.01190126	37.00235367	0.97781868	0.03292187599052032	0.00395805	0.00074
-0.0004	0.0062	0.0494	-0.0006859143960337716	0.00020943951023931956	-0.0004991641660703782	1.00884235	36.89049911	0.98131322	0.05033274122871835	0.0039376	0.00076
-0.0052	-0.0079	0.0341	-0.00045902159327450867	0.00020420352248333657	-0.0005899212871740833	0.97539222	35.66732025	0.97119207	0.05034429558094754	0.00426501	0.00085
0.0035	-0.0023	-0.011	0.00047123889803846896	0.0006719517620178169	-0.0005654866776461627	1.15205359	42.12732697	1.07945832	0.13052216701876893	0.00601786	0.00703
0.0353	-0.005	-0.0314	9.075712110370512e-05	0.001022762941668677	-1.9198621771937625e-05	1.21613765	44.47069931	1.12742594	0.11877905062299245	0.00597095	0.00403
0.0257	-0.0078	-0.0252	-0.00048171087355043494	0.0007958701389094143	-0.0002652900463031381	1.13965571	41.67396927	1.05216528	0.07087261109723016	0.0062986	0.00295
0.0193	0.0182	0.0307	-0.0004014257279586958	0.0008464846872172499	-0.0005497787143782138	1.11832523	40.8939743	1.03931587	0.10906941809873252	0.00454807	0.00155
0.0171	0.0095	0.0291	-0.0001064650843716541	0.0008377580409572782	-0.0004415683007545654	1.01658583	37.17365265	0.98944927	0.033094885173533095	0.00414097	0.00087
0.0116	-0.0286	0.021	-0.0005148721293383271	0.0009128071987930344	-0.000593411945678072	1.13485491	41.4984169	1.04621026	0.08346499238629679	0.00435597	0.001
0.0102	-0.0016	0.0054	-0.0005218534463463045	0.0006771877497737998	-0.0006981317007977319	1.0678302	39.04751587	1.01019836	0.06136602605734359	0.00420964	0.00061
0.0117	0.0241	0.0568	-0.001117010721276371	0.000619591884457987	-0.000635299847725936	1.07605362	39.34822083	1.01339533	0.11437924966588375	0.00477171	0.00093
0.0069	0.0016	0.043	-0.0009791297103688187	0.0007330382858376184	-0.0007033676885537148	1.07765734	39.40686798	1.01275564	0.057069762655748126	0.00404102	0.00046
0.002	-0.0001	0.0348	-0.0011065387457644049	0.0006492624817418905	-0.0007714355293814937	0.99802572	36.4949646	0.98408843	0.02876263401595465	0.00439614	0.00053
0.002	0.0041	0.025	-0.0008028514559173916	0.0005742133239061344	-0.0008621926504851988	1.00076008	36.59495163	0.97943567	0.03747467843932372	0.00389028	0.00063
0.0032	0.0118	0.0522	-0.0008813912722571365	0.0006335545184739417	-0.0007557275661135446	1.04783607	38.31638718	1.00240897	0.04831730476396032	0.00369024	0.00075
0.0099	0.0081	0.0562	-0.0007888888219014368	0.0005707226654021458	-0.0006038839211900379	0.99399072	36.34741592	0.97464717	0.02975889741755011	0.00386596	0.00067
-0.0002	0.0153	0.0534	-0.0010506882097005862	0.0005410520681182421	-0.000778416846389471	1.06638527	38.9946785	1.0064708	0.043400145514124314	0.0037415	0.00049
0.0001	0.0086	0.044	-0.0008639379797371932	0.0007086036763096977	-0.0008325220532012951	1.04803586	38.32369232	0.99683977	0.036820352248333646	0.00353271	0.00057
0.0034	0.0269	0.056	-0.0010454522219446034	0.0005794493116621174	-0.0007801621756414653	1.06372976	38.89757538	0.99281601	0.05175142422074101	0.00377184	0.00037
0.0007	0.0313	0.0452	-0.0009599310885968812	0.0006108652381980154	-0.0007609635538695277	1.06661963	39.00325012	0.99455298	0.024706784082777888	0.00333649	0.00041
-0.0002	0.025	0.0496	-0.0011013027580084218	0.0005515240436302081	-0.0007696902001294993	0.99455857	36.36817932	0.97042882	0.022071975511965977	0.00342107	0.00053
-0.003	0.0208	0.0632	-0.001281071670963838	0.0005619960191421741	-0.0007993607974134029	1.07026792	39.1366539	1.00097615	0.0315955742875643	0.00388426	0.00065
-0.0119	0.0363	0.079	-0.0012060225131280816	0.00045553093477052	-0.0009512044423369096	1.05657947	38.6361084	0.99766976	0.05686789435654586	0.0031234	0.00039
-0.005	0.0243	0.0715	-0.0012932889757277981	0.000593411945678072	-0.0008813912722571365	1.04286492	38.13460541	0.99089973	0.04114803217935209	0.00373524	0.00043
0.0018	0.0311	0.0464	-0.0011117747335203881	0.0005201081170943102	-0.0008203047484373349	1.0026958	36.66573334	0.97316312	0.05449522973054866	0.00315702	0.00037
-0.0053	0.0419	0.0745	-0.0011047934165124105	0.0003961897402027128	-0.000804596785169386	1.04084444	38.06072235	0.99567033	0.053330382858376206	0.00316483	0.00035
-0.0076	0.0215	0.069	-0.000947713783832921	0.0003106686068549907	-0.0008011061266653974	1.05090535	38.4286232	0.99792249	0.04050457122656	0.00341493	0.00043
-0.0019	0.0217	0.0614	-0.0011379546723003027	0.000486946861306418	-0.0006056292504420323	1.01977003	37.29009247	0.99715158	0.041599800957108704	0.00358182	0.00037
-0.0043	0.0221	0.056	-0.0011798425743481666	0.000466002910282486	-0.0006702064327658224	1.0679872	39.05325699	1.01238057	0.014570451769779304	0.00390178	0.00066
-0.0089	0.0578	0.0776	-0.001450368608407288	0.00047123889803846896	-0.0007661995416255106	1.13683236	41.5707283	1.03645187	0.08048775653373962	0.00442767	0.00092
-0.0173	0.0407	0.0822	-0.0013840460968315032	0.0003316125578789226	-0.0008220500776893293	1.11919308	40.92570877	1.03228029	0.04318996938995748	0.00319028	0.00044
-0.0138	0.0433	0.079	-0.0016406094968746698	0.0004380776422505767	-0.0007452555906015787	1.10313821	40.33862686	1.01870488	0.03129114857512856	0.00394905	0.00052
-0.0146	0.054	0.088	-0.0017296212887263805	0.0004485496177625427	-0.000879645943005142	1.11267352	40.68730927	1.02229574	0.03219370598836199	0.004309	0.00055
-0.0141	0.0352	0.0644	-0.001462585913171248	0.00043458698374658803	-0.0008761552845011534	1.0422051	38.11047745	0.99234474	0.057124433403753776	0.00317043	0.00041
-0.0192	0.0528	0.0783	-0.0012583823906879114	0.00041015237421866745	-0.000932005820564972	1.09578919	40.0698967	1.0206253	0.050824433403753776	0.00329661	0.00059
-0.0178	0.0372	0.0664	-0.0013316862192716734	0.00041713369122664475	-0.0009285151620609833	1.17882097	43.10613251	1.06053211	0.03308879020478639	0.00459433	0.0008
-0.0137	0.0335	0.0523	-0.00124965574442794	0.0005288347633542819	-0.0008063421144213803	1.11265111	40.68648911	1.03024404	0.037695229730548674	0.0034548	0.00037
-0.0194	0.0476	0.0457	-0.0013805554383275148	0.0002844886680750757	-0.0009826203688728075	1.07334721	39.24925613	1.00429778	0.05397620218151042	0.00379646	0.00054
-0.0181	0.0281	0.0459	-0.001473057888683214	0.00027925268031909274	-0.0009651670763528643	1.03482449	37.84059143	0.99137651	0.026759586531581284	0.00466269	0.00071
-0.0121	0.0444	0.0431	-0.0013369222070276565	0.0006492624817418905	-0.0007923794804054256	1.15860915	42.36704254	1.04544061	0.05904665395128971	0.00373125	0.00075
-0.0133	0.0352	0.0623	-0.0012060225131280816	0.0007871434926494425	-0.0007173303225696694	1.16564655	42.62438202	1.05109339	0.04679149313214415	0.00376314	0.00071
