trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.0223321	0.0223
0.0096	0.008	0.0207	-0.0002652900463031381	3.839724354387525e-05	0.0003630284844148205	1.0998956	43.90966797	0.99349907	0.07163578871309169	0.0228991	0.02175
0.0068	-0.0155	-0.0159	-0.00047123889803846896	5.93411945678072e-05	0.0002670353755551324	1.09732091	43.80688095	1.00172334	0.07904429558094754	0.0207744	0.01697
0.003	-0.0327	-0.0033	-0.000752236907609556	0.0001064650843716541	0.000312413936106985	1.12029588	44.72408295	1.0034389	0.05227502299633932	0.021332	0.01826
-0.0057	0.0217	-0.0287	-0.0009930923443847736	0.00019547687622336493	0.00024085543677521747	1.12307036	44.83484268	1.01007698	0.1085712863979348	0.0181575	0.00985
0.0034	0.0233	-0.0507	-0.0005113814708343385	0.0003298672286269283	0.00028099800957108706	1.08329034	43.24675751	0.97655107	0.06551218993749341	0.0170935	0.0082
-0.0015	0.0111	-0.0559	-0.0008587019919812101	0.00042411500823462205	0.00027925268031909274	1.02950072	41.09938812	0.95026193	0.04446568150032799	0.0163733	0.00652
0.002	0.0203	-0.0093	-0.0010384709049366262	0.0003961897402027128	0.0004049163864626844	1.05910456	42.28121948	0.97064569	0.07596789435654584	0.019275	0.01064
0.0109	0.0207	-0.0915	-0.0011065387457644049	0.0006056292504420323	0.0003961897402027128	1.14041579	45.52730179	1.00281083	0.10581169986635348	0.0140718	0.0032
0.0128	0.0052	-0.0532	-0.0018029251173101424	0.0006300638599699529	0.000460766922526503	1.03901172	41.4790802	0.95903807	0.0949699081698724	0.0155793	0.00469
0.0107	0.0172	-0.0634	-0.0017610372152622785	0.0006859143960337716	0.0004799655442984406	1.02574301	40.94937515	0.95293774	0.030146852994181007	0.0150529	0.00378
0.0083	0.028	-0.0694	-0.0013107422682477415	0.0007539822368615504	0.0004520402762665313	1.05316937	42.04428101	0.96355407	0.04651440279371125	0.0146574	0.00354
0.0092	0.0183	-0.0743	-0.0014067353771074296	0.0006981317007977319	0.0004014257279586958	1.03134549	41.17303467	0.95027451	0.025622909661567113	0.014216	0.00296
0.0056	0.023	-0.0788	-0.0015184364492350666	0.0007923794804054256	0.00047123889803846896	1.02192259	40.79685593	0.94782589	0.026588101090755187	0.0137936	0.00258
0.0072	0.0314	-0.1173	-0.0016859880574265225	0.0008098327729253688	0.00047822021504644627	1.06180954	42.38920975	0.97741813	0.05809931088596881	0.0121418	0.00138
0.0115	0.0427	-0.0935	-0.0021624629432209744	0.000905825881785057	0.0005515240436302081	1.04331279	41.65078735	0.96320487	0.0716885911618951	0.0129095	0.00215
-0.003	0.014	-0.1019	-0.001609193570338772	0.0008290313946973065	0.00034557519189487725	1.11097884	44.35213089	0.99221664	0.0934006355852642	0.0129976	0.00256
-0.005	0.0407	-0.0936	-0.0019163715186897737	0.0009093165402890458	0.0003769911184307752	1.1176405	44.61807251	0.9851359	0.057943951023931954	0.0125797	0.00155
0.0099	0.1307	-0.222	0.001933824811209717	0.0007382742735936014	0.000577703982410123	1.64448953	65.65076447	1.34450992	0.4443975730287141	0.0149883	0.0179
-0.0134	0.087	-0.2922	0.0017191493132144146	0.00124965574442794	0.0003211405823669566	1.48506546	59.28629303	1.29682055	0.18633101844364044	0.00953931	0.00339
-0.007	0.101	-0.2925	0.0003717551306747922	0.0011274826967883368	0.0003351032163829112	1.10220587	44.0018959	1.01130699	0.09487649320975901	0.00736082	0.00079
-0.0119	0.0978	-0.2691	-0.0005497787143782138	0.001514945790731078	0.00017802358370342162	1.14367509	45.6574173	0.99805294	0.10480382858376185	0.00679117	0.00057
