trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.01078	0.00724
0.0077	0.0128	0.0072	-0.0001658062789394613	-0.00010995574287564276	7.155849933176751e-05	1.10605145	43.24240494	1.00430354	0.045066026057343576	0.010974	0.00648
-0.0035	-0.0086	-0.0024	-0.0004729842272904633	-3.839724354387525e-05	5.759586531581287e-05	1.0658884	41.67218018	0.99084991	0.06183495408493621	0.00998604	0.00469
-0.0018	0.0023	0.0032	-0.0007400196028455958	-4.0142572795869576e-05	-5.93411945678072e-05	1.07593453	42.06494522	0.99105014	0.03748588823453734	0.00965577	0.00431
0.0028	0.0188	0.0194	-0.0010245082709206715	-4.0142572795869576e-05	1.9198621771937625e-05	1.09600627	42.84967422	0.993778	0.05545142422074102	0.009507	0.00314
-0.0062	-0.065	0.1109	-0.0024294983187761066	-0.0002740166925631097	-0.00022165681500327985	1.27152824	49.71191788	1.11396571	0.27828598021989454	0.00603515	0.00114
-0.0001	0.0377	0.0384	-0.0017331119472303693	-1.7453292519943296e-05	-0.0002530727415391778	1.29522049	50.63819504	1.11857218	0.23051828490624007	0.00862044	0.00199
-0.0041	-0.0136	0.0079	-0.0019879300180215415	1.7453292519943296e-05	-0.0003159045946109737	1.18366528	46.27680969	1.02148063	0.10342782544514272	0.008156	0.00147
-0.0063	-0.0121	0.0332	-0.001996656664281513	-4.537856055185256e-05	-0.0003577924966588376	1.1271404	44.06690216	1.00423299	0.03467232006898156	0.00760025	0.00126
-0.0042	-0.0039	0.0479	-0.0019303341527057286	2.4434609527920616e-05	-0.0003473205211468716	1.17044556	45.7599678	1.02320655	0.032330382858376173	0.00804752	0.00182
-0.0013	-0.0246	0.0682	-0.0023003439541285265	-0.0001308996938995747	-0.00035604716740684323	1.1766479	46.00245667	1.02440574	0.07060353755551324	0.00749195	0.00143
