onset	duration	conditions
7596	2000	global congruent
13360	2000	global congruent
18142	2000	global incongruent
22923	2000	local congruent
29670	2000	global incongruent
36450	2000	global incongruent
41198	2000	global incongruent
45963	2000	local congruent
51760	2000	global incongruent
56558	2000	local incongruent
62355	2000	local congruent
67153	2000	global congruent
73934	2000	local incongruent
77732	2000	local incongruent
83496	2000	global congruent
87278	2000	local incongruent
94041	2000	local incongruent
99822	2000	local incongruent
106569	2000	global congruent
113349	2000	global incongruent
120113	2000	local incongruent
124911	2000	local incongruent
129725	2000	global incongruent
133490	2000	local incongruent
139271	2000	local incongruent
144086	2000	global congruent
150883	2000	local congruent
154698	2000	local congruent
158463	2000	global congruent
164244	2000	global incongruent
171057	2000	global congruent
174839	2000	global congruent
180603	2000	global congruent
184368	2000	local congruent
190132	2000	global incongruent
194897	2000	local incongruent
198712	2000	global incongruent
204459	2000	local congruent
210223	2000	local congruent
216987	2000	global congruent
221768	2000	global congruent
228532	2000	local congruent
232363	2000	global incongruent
236128	2000	global incongruent
241909	2000	local incongruent
248689	2000	local congruent
253437	2000	local congruent
257202	2000	local congruent
