trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.0047372	0.00398
-0.0062	0.0095	0.0308	-0.0003159045946109737	-1.3962634015954635e-05	-0.00010297442586766544	1.03435779	34.86867142	1.00244293	0.06814208272472969	0.00401956	0.00199
-0.0077	-0.0024	0.0411	-0.00038048177693476387	1.9198621771937625e-05	-0.0001605702911834783	1.08690822	36.64016724	1.01578585	0.03146671517137476	0.00367868	0.00153
-0.0121	-0.0057	0.0223	-0.00039968039870670147	0.00013264502315156904	-0.0003647738136668148	1.07316279	36.17680359	1.00781642	0.04334242728174527	0.00384736	0.00167
-0.0158	0.0026	0.0259	-0.0005393067388662478	0.00012042771838760874	-0.0005096361415823442	1.03886974	35.02077103	0.99515565	0.030435298641951807	0.00382453	0.00157
-0.0079	-0.0092	0.0277	-0.00046425758103049166	6.632251157578452e-05	-0.00045902159327450867	1.08802688	36.67787933	1.00538173	0.030488445647770795	0.00413698	0.00099
-0.0138	-0.0084	0.0376	-0.0006038839211900379	-3.665191429188092e-05	-0.0006370451769779302	1.09444153	36.89411926	1.00846586	0.037631217486531664	0.00368452	0.00082
-0.0158	0.0009	0.0236	-0.0007592182246175333	-2.094395102393195e-05	-0.0008360127117052838	1.0602659	35.74204254	0.99954205	0.043800490071139904	0.00394624	0.00071
-0.0205	0.0097	0.0343	-0.0008325220532012951	-6.981317007977319e-05	-0.0009704030641088471	1.08478987	36.56875992	1.01033338	0.03702817000215832	0.00360119	0.00069
-0.0191	-0.0023	0.0431	-0.0008587019919812101	-3.839724354387525e-05	-0.0008988445647770796	1.10317683	37.188591	1.01184212	0.028657718232379028	0.00358641	0.00047
-0.0152	-0.0041	0.0346	-0.0009162978572970229	2.6179938779914945e-05	-0.0008936085770210966	1.05759406	35.65197372	0.99541889	0.020570451769779296	0.00303864	0.00048
-0.0152	0.0059	0.0482	-0.0011885692206081383	-2.96705972839036e-05	-0.0009145525280450286	1.08057094	36.42653656	1.00661624	0.041053292519943295	0.00393575	0.00063
