onset	duration	conditions
8579	2000	global incongruent
12311	2000	local incongruent
19024	2000	global congruent
24772	2000	global congruent
28520	2000	global congruent
32252	2000	global incongruent
36967	2000	global congruent
43697	2000	global congruent
48428	2000	local incongruent
55158	2000	global incongruent
60889	2000	global incongruent
66620	2000	local congruent
72351	2000	local incongruent
76083	2000	global incongruent
82796	2000	local incongruent
87544	2000	global congruent
91343	2000	global congruent
95058	2000	local congruent
100788	2000	local incongruent
107552	2000	local congruent
114316	2000	global incongruent
120046	2000	global congruent
126777	2000	local incongruent
132508	2000	global incongruent
136256	2000	local congruent
141870	2000	local incongruent
147618	2000	global congruent
153348	2000	global incongruent
157097	2000	global incongruent
163810	2000	global congruent
168458	2000	local incongruent
172173	2000	global congruent
176838	2000	local congruent
181569	2000	local congruent
187300	2000	local congruent
193931	2000	local congruent
200661	2000	local congruent
205409	2000	global congruent
209124	2000	local incongruent
212839	2000	local incongruent
217487	2000	global incongruent
222235	2000	global incongruent
227966	2000	local congruent
234712	2000	global incongruent
238461	2000	local congruent
245241	2000	local incongruent
249972	2000	local congruent
254704	2000	local incongruent
