trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.0230092	0.01381
-0.0019	-0.0062	-0.0548	0.0005148721293383271	-0.00011344640137963142	-4.18879020478639e-05	1.22146392	49.05847549	1.09006073	0.09641032163829111	0.0203429	0.01102
0.0063	0.0025	-0.3147	0.00411199571769864	0.0001012290966156711	0.00017453292519943296	1.61657357	64.92752838	1.32652801	0.4782109956801456	0.0138646	0.00788
-0.0308	-0.0586	-0.1399	0.0039898226700590365	-0.000466002910282486	-0.00010297442586766544	1.5233382	61.18284988	1.27058518	0.32134562028024305	0.0107307	0.00265
-0.0345	-0.0301	-0.1732	0.0034627332359567498	-0.00015184364492350666	-0.0004328416544945937	1.29990685	52.20903015	1.12529895	0.12405579640440972	0.0115715	0.00172
-0.0357	-0.0296	-0.0706	0.0025726153174396417	-0.00024085543677521747	-0.0002513274122871834	1.2204386	49.01729202	1.06757946	0.16233219762881143	0.014226	0.00244
-0.0561	-0.0115	-0.0922	0.0026197392072434887	0.0003577924966588376	-0.0005270894341022875	1.1558274	46.42226791	1.05294841	0.1061766922526503	0.0132939	0.00165
-0.0516	-0.0393	-0.0828	0.0038100537571036214	-6.108652381980153e-05	-0.0003630284844148205	1.16171801	46.65885925	1.03514736	0.13036272600131196	0.010475	0.00067
-0.0523	-0.0222	-0.1247	0.004159119607502487	2.6179938779914945e-05	-0.0004572762640225143	1.09525001	43.98926163	1.00112024	0.08622900463031377	0.00844544	0.00038
-0.0481	-0.0259	-0.1062	0.0038083084278516272	-6.283185307179586e-05	-0.0003961897402027128	1.05817711	42.50027466	0.9799357	0.0514454747661186	0.00936657	0.00071
-0.0624	-0.0531	-0.1094	0.0046198865300289904	-0.00023561944901923448	-0.0004468042885105483	1.12451029	45.16445923	1.01201389	0.09644901232163186	0.00785345	0.00062
-0.0589	-0.012	-0.1255	0.004125958351714595	-0.00016406094968746698	-0.00039793506945470715	1.09443641	43.95658112	1.00340088	0.09141779483510022	0.00848639	0.00061
-0.0639	-0.0489	-0.1164	0.005286602304290824	-0.0003473205211468716	-0.00023212879051524583	1.13798332	45.70558548	1.02335343	0.1264854901487547	0.00708389	0.00045
-0.0631	-0.0155	-0.1647	0.005452408583230286	-8.028514559173915e-05	-0.00038397243543875244	1.10741651	44.47790909	1.01223369	0.11173426497090504	0.00687933	0.0004
-0.063	-0.0462	-0.096	0.004628613176288962	-0.00014660765716752367	-0.0002583087292951608	1.10492384	44.37779617	1.00354573	0.150289081233035	0.00753462	0.00034
-0.0644	-0.0028	-0.1273	0.0053162729015747276	-0.00016231562043547262	-0.00037524578917878077	1.09302306	43.89981842	0.98727872	0.11711523742186672	0.00734043	0.00028
-0.063	-0.0297	-0.104	0.004860741966804208	-0.0002705260340591211	-0.0005393067388662478	1.04813814	42.0970726	0.97932261	0.08799011490408176	0.00839841	0.00053
-0.062	-0.0534	-0.1074	0.004857251308300219	-0.00021467549799530252	-0.0005235987755982988	1.13346529	45.52412415	0.99945234	0.031852457891787846	0.00855595	0.00052
-0.0637	-0.0013	-0.1006	0.0042324234360862495	-0.0001605702911834783	-0.0005637413483941684	1.08158314	43.44034958	0.97808436	0.09655378259108313	0.00863326	0.00037
-0.0691	-0.0545	-0.0764	0.0044156830075456534	-0.00038048177693476387	-0.0005183627878423159	1.07378888	43.12730026	0.98962285	0.10522748088812708	0.00820518	0.00062
-0.0634	-0.0096	-0.0968	0.004124213022462601	-0.00017453292519943296	-0.000460766922526503	1.0794028	43.35277557	0.98751569	0.09875073510670979	0.00875163	0.00044
-0.0705	-0.0218	-0.1009	0.0048188540647563435	-0.00020769418098732522	-0.0003822271061867582	1.03822708	41.69900894	0.97090503	0.06371710572106898	0.00854701	0.00037
-0.0793	-0.0512	-0.1064	0.004857251308300219	-0.00012217304763960306	-0.0003700098014227979	1.14286137	45.90150833	1.00804036	0.05050678408277787	0.007429	0.00049
-0.0794	-0.0165	-0.1177	0.004906120527356061	-0.00022863813201125715	-0.0005078908123303499	1.10460472	44.36497879	0.9826823	0.060760765716752416	0.00777185	0.00035
-0.0745	-0.0366	-0.0672	0.004646066468808905	-0.00027576202181510406	-0.00032463124087094524	1.07414103	43.14144516	0.98725161	0.10002187599052038	0.00785613	0.00051
