trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.0502909	0.10483
-0.0094	-0.0337	0.0619	-0.000450294947014537	0.00011170107212763708	0.0001675516081914556	1.16183889	47.27806473	1.06438967	0.1414773813666815	0.0514703	0.11112
-0.0059	0.0119	0.0034	-0.00022340214425527416	7.155849933176751e-05	-1.2217304763960308e-05	1.14072037	46.41870117	1.05846621	0.1299402144255274	0.0513146	0.10851
-0.0125	-0.0142	0.0235	-0.00039095375244672985	3.839724354387525e-05	-3.665191429188092e-05	1.0327276	42.02420807	1.02354857	0.06405737367536342	0.0518499	0.10936
-0.0121	-0.0232	0.0391	-0.0007155849933176752	0.0002652900463031381	4.18879020478639e-05	1.15583384	47.03370285	1.04882267	0.056503192998497646	0.0526975	0.11169
-0.0088	0.0104	0.019	-0.00048345620280242926	-0.00012740903539558605	-0.00021642082724729686	1.05712068	43.01682281	1.00181963	0.10115683007545652	0.051639	0.10643
-0.0104	-0.0546	0.0862	-0.0006876597252857658	0.00021467549799530252	-4.886921905584123e-05	1.25254369	50.96906281	1.0793772	0.16949198320328404	0.0520727	0.1091
-0.0816	-0.2602	-0.0608	0.02867750493951883	-0.0024155356847601517	-0.0023265238929084412	4.57373714	186.11654663	3.67910037	2.1374515260706324	0.0271443	0.09416
-0.0984	-0.1978	-0.0103	0.0345348299092118	-0.0035395277230445004	-0.0033562681515850955	2.64486241	107.62591553	2.36235579	0.5302530633326985	0.0192965	0.01599
-0.1187	-0.181	-0.0421	0.03592062133529529	-0.004419173666049642	-0.005037020221255636	1.22858226	49.99401474	1.19645715	0.2662094719379587	0.02052	0.00766
-0.1244	-0.208	0.0278	0.03436378764251635	-0.0037768925013157294	-0.004892157893340105	1.06594992	43.37610626	1.01018053	0.21979885927141904	0.0181574	0.00347
-0.118	-0.1674	-0.0571	0.034854225162326766	-0.004201007509550351	-0.005110324049839397	1.12013364	45.58097458	1.00530394	0.18853593422721637	0.0185536	0.00542
-0.1295	-0.2295	-0.0095	0.03430619177720054	-0.0038397243543875246	-0.005005604294719737	1.2333014	50.18605042	1.02768819	0.17190181477043565	0.0169204	0.00259
-0.1194	-0.1251	-0.0574	0.033178709080412205	-0.003886848244191372	-0.005077162794051505	1.08830273	44.28569794	1.01677282	0.2247082542961975	0.0158326	0.00296
-0.1267	-0.229	0.0003	0.0325329372571743	-0.003824016391119576	-0.005024802916491674	1.04043007	42.33764267	1.01113244	0.20694817769347656	0.0140502	0.00103
-0.1134	-0.1655	-0.0425	0.0314560691086938	-0.0036948620264719957	-0.005119050696099368	1.10213518	44.84857559	0.98584668	0.18461351463678877	0.0122792	0.00085
-0.1231	-0.1784	0.0258	0.030180233425485946	-0.0032079151651655774	-0.004665265090580842	1.03615022	42.16348648	0.99217822	0.20172840750163987	0.00998968	0.00048
-0.1161	-0.1721	-0.0182	0.03020641336426586	-0.003452261260444784	-0.005082398781807488	1.11927974	45.54623032	0.9865427	0.09168298626428825	0.010286	0.00053
-0.1199	-0.219	0.0395	0.030044097743830385	-0.003485422516232676	-0.004944517770899936	1.09870577	44.70902252	0.993011	0.1250678943565459	0.010889	0.00049
-0.114	-0.1487	0.0026	0.02983989422134705	-0.0033231068957972035	-0.004885176576332128	1.19957042	48.81345367	1.03095089	0.13439301687433075	0.0101502	0.00043
-0.114	-0.2384	0.1037	0.031248374927706473	-0.003490658503988659	-0.0050562188430275734	1.19682193	48.70161057	1.06766608	0.27815372906231617	0.0137428	0.00097
-0.1121	-0.1977	0.0628	0.030445523471789082	-0.003227113786937515	-0.005037020221255636	1.26694	51.55488586	1.05477139	0.13777973973702365	0.0114843	0.00056
-0.0969	-0.1702	0.0382	0.02983989422134705	-0.003415609346152903	-0.004679227724596798	1.12183881	45.65036392	0.99943191	0.12489586531581288	0.0105248	0.00072
-0.0856	-0.2249	0.0164	0.03414562148601706	-0.004888667234836118	-0.00476125819944053	1.42192805	57.86172867	1.15608227	0.3808407814098479	0.0171115	0.00349
-0.1025	-0.246	0.0678	0.032032027761851926	-0.004146902302738527	-0.004710643651132695	1.30707216	53.18796158	1.09016317	0.234698660228528	0.0141903	0.00153
-0.0982	-0.1927	0.0375	0.030925489016087528	-0.004082325120414737	-0.004717624968140673	1.24709535	50.74735641	1.04114281	0.1468048622548083	0.0119983	0.00075
-0.1141	-0.2501	0.0905	0.030546752568404757	-0.003771656513559746	-0.004412192349041665	1.27834821	52.01911163	1.0370881	0.1760418836818384	0.0119522	0.00057
-0.1143	-0.1937	0.0397	0.03131295211003027	-0.0042603487041181585	-0.005094616086571448	1.05933774	43.10704041	1.00519439	0.20426577348568525	0.0117044	0.00052
-0.1294	-0.258	0.0727	0.03161314874137329	-0.004263839362622147	-0.005124286683855352	1.15592325	47.03734207	1.00399086	0.12906789435654573	0.0124894	0.00059
-0.1222	-0.1855	0.0215	0.03137927462160605	-0.004445353604829557	-0.005386086071654501	1.14484084	46.58637238	1.00757858	0.1647593874886899	0.0116833	0.00054
-0.1375	-0.2426	0.0631	0.03167772592369708	-0.00451865743341332	-0.005379104754646523	0.99718297	40.57781219	0.96410537	0.1329368223841386	0.0125579	0.00049
-0.1413	-0.2257	0.0393	0.031655036643421154	-0.004406956361285682	-0.005391322059410484	1.08937418	44.32929993	0.98075929	0.051830382858376246	0.0124931	0.00058
-0.1415	-0.2072	0.0505	0.03162013005838127	-0.004654793115068877	-0.005431464632206353	1.01236129	41.19545364	0.97063053	0.04604429558094749	0.0117739	0.00051
-0.1539	-0.2411	0.064	0.03153286359578155	-0.004389503068765739	-0.005368632779134557	1.14026678	46.40024185	0.99826525	0.08056941809873262	0.0120928	0.00063
-0.1516	-0.2347	0.0533	0.030574677836436668	-0.004448844263333546	-0.005269149011770881	1.05388248	42.88505173	1.00675476	0.0752505360638183	0.010639	0.00034
-0.1587	-0.2155	0.0448	0.030860911833763736	-0.004386012410261751	-0.00560774288665778	1.21416926	49.40751648	1.01698719	0.06918298626428815	0.0109379	0.00041
-0.1679	-0.2172	0.0521	0.03105289805148311	-0.004769984845700502	-0.005633922825437696	1.05138791	42.78354263	0.97807706	0.04830692959690198	0.0110511	0.00041
-0.17	-0.2241	0.0355	0.030099948279894203	-0.00434586983746588	-0.005368632779134557	1.1104238	45.18585968	0.99038909	0.10771774130633333	0.00944668	0.00042
-0.1746	-0.2163	0.0597	0.029764845063511295	-0.004386012410261751	-0.0053825954131505125	1.06065357	43.16058731	0.98048431	0.056060421159736695	0.00938731	0.00038
-0.1712	-0.2469	0.0858	0.029974284573750617	-0.003921754829231259	-0.005344198169606637	1.14783883	46.70836639	1.01416708	0.09570471674068447	0.0106953	0.00046
