onset	duration	conditions
10712	2000	local incongruent
14610	2000	global incongruent
21324	2000	local incongruent
28138	2000	local congruent
34935	2000	local congruent
39849	2000	local incongruent
43648	2000	local incongruent
49545	2000	local incongruent
54509	2000	global incongruent
58308	2000	local incongruent
63089	2000	global incongruent
69020	2000	global congruent
74817	2000	local incongruent
80664	2000	global incongruent
85496	2000	global congruent
90427	2000	local congruent
94358	2000	global congruent
100072	2000	global incongruent
103837	2000	global incongruent
107652	2000	local congruent
112467	2000	global congruent
119397	2000	global congruent
126094	2000	local incongruent
131875	2000	local incongruent
137806	2000	local congruent
144586	2000	global congruent
148368	2000	global incongruent
154165	2000	global congruent
159962	2000	local congruent
163744	2000	local congruent
167542	2000	local congruent
172340	2000	local incongruent
176105	2000	global congruent
182919	2000	global incongruent
187700	2000	global incongruent
193481	2000	global incongruent
198312	2000	global congruent
203127	2000	local incongruent
207924	2000	local congruent
214705	2000	local congruent
218470	2000	local incongruent
223251	2000	local congruent
230031	2000	global incongruent
235829	2000	local congruent
241593	2000	global congruent
245341	2000	global congruent
252171	2000	global congruent
258985	2000	global incongruent
